site_id,lat,lon,AI,regime,sensitivity,n_obs,n_years
JP-Ynf,26.751,128.212667,1.6157110929489136,Humid regions,0.2381144640752877,158,7
KE-Kpt,-1.614186645,37.1331100499999,0.4132494628429413,Drylands,-0.346230757027254,109,4
KR-CRK,38.2013,127.2497,1.7588173151016235,Humid regions,0.1831061545728241,263,7
KR-CmF,37.1599,127.65365,1.69762122631073,Humid regions,-0.0025985017205642,108,3
KR-GmR,35.74862,126.86432,1.2932263612747192,Humid regions,0.7483781446153264,84,3
KR-HcM,37.61938,127.84571,1.749952793121338,Humid regions,-0.0956457294411825,182,4
KR-Hnm,34.5538,126.56992,1.329272985458374,Humid regions,0.1517181759310273,131,3
KR-JjM,33.31798,126.56772,2.5186331272125244,Humid regions,0.0372197263518864,179,4
KR-Kw1,37.74843,127.16261,1.7194068431854248,Humid regions,-0.1186835563712379,132,3
KR-Kw2,37.74869,127.14888,1.7194068431854248,Humid regions,0.1769113576206915,194,5
KR-PcD,37.48184,128.51603,1.8766635656356807,Humid regions,0.1206700439678184,182,4
KR-ScC,37.22141,129.29863,1.58109712600708,Humid regions,0.1726690977124151,170,4
KR-UAO,36.41682,128.79904,1.4583961963653564,Humid regions,0.1774823392556026,81,3
KR-WdE,34.35956,126.67779,1.423769474029541,Humid regions,0.301520270147574,101,4
MN-Hst,47.592931,105.854973,0.2428890913724899,Drylands,0.18568618739163,148,5
MN-Kbu,47.213972,108.737333,0.2622314095497131,Drylands,0.3979757798687038,196,6
MN-Nkh,47.693592,107.489342,0.3533863425254822,Drylands,-0.0162666273661284,146,5
MX-Aog,26.9968,-108.7892,0.3937418162822723,Drylands,-0.5322697350737592,102,3
NL-Loo,52.16644722,5.74355,1.2737122774124146,Humid regions,0.0267719040256748,853,22
NL-Vkp,51.980934,5.618825,1.192026138305664,Humid regions,0.0627098977297454,346,9
NZ-ADd,-43.64405,172.35465,0.6675897836685181,Humid regions,-0.4798373479380896,214,5
NZ-ADw,-43.64935,172.34952,0.6675897836685181,Humid regions,0.082499953420379,328,8
RU-Ege,60.01551563,133.82401228,0.7346871495246887,Humid regions,0.1087305385770016,76,4
RU-Fy2,56.447603,32.901878,1.309783101081848,Humid regions,-0.2137537140205978,326,8
RU-Fy3,56.4435,33.0478,1.3081737756729126,Humid regions,-0.274108900807512,63,3
RU-Fyo,56.4615278,32.9220833,1.309783101081848,Humid regions,-0.1105239357247637,667,17
RU-NeC,62.314844,129.500075,0.5501344799995422,Drylands,0.0175302692953237,120,6
RU-NeF,62.315615,129.499964,0.5525503158569336,Drylands,0.1424578627125992,120,6
SE-Nor,60.08649722,17.47950278,1.1166584491729736,Humid regions,0.0097910142118802,161,5
SE-Svb,64.25611,19.7745,1.571058750152588,Humid regions,-0.4146641039354689,116,4
SN-Nkr,14.49581,-16.45357,0.3178175389766693,Drylands,-0.0617603172660637,159,5
US-ABa,27.1301,-81.2011,0.9374468326568604,Humid regions,-0.3558538487940051,54,3
US-ABc,27.1633,-81.1873,0.9136796593666076,Humid regions,0.4566850311923863,54,3
US-ABd,27.1699,-81.2152,0.9374468326568604,Humid regions,-0.5151034437111109,54,3
US-AR1,36.4267,-99.42,0.3584407866001129,Drylands,-0.3757656823510083,152,4
US-AR2,36.6358,-99.5975,0.3670928478240967,Drylands,-0.4086412127796349,123,4
US-ARM,36.6058,-97.4888,0.5984489321708679,Drylands,-0.3056177922161471,688,17
US-Aud,31.5907,-110.5104,0.2743543684482574,Drylands,-0.2067469994781614,811,19
US-Bi1,38.0992,-121.4993,0.2581144869327545,Drylands,-0.5223163720060499,144,7
US-CMW,31.6637,-110.1777,0.1846687942743301,Drylands,-1.0941806548695074,92,3
US-CRT,41.6285,-83.3471,1.0224714279174805,Humid regions,0.2521070509985794,98,3
US-CdM,37.5241,-109.7471,0.2456379830837249,Drylands,-0.1047014511985256,88,4
US-ChR,35.9311,-84.3324,1.2876479625701904,Humid regions,-0.12974944759431,549,13
US-Cst,33.0442,-91.9204,1.1639970541000366,Humid regions,-0.3795582730183852,159,5
US-Dk1,35.9712,-79.0934,1.0633058547973633,Humid regions,-0.3681246188928478,133,4
US-Dk2,35.9736,-79.1004,1.0623000860214231,Humid regions,-0.4241519173484403,182,5
US-Dk3,35.9782,-79.0942,1.0633058547973633,Humid regions,-0.1248814321850955,225,5
US-EML,63.8784,-149.2536,1.2298364639282229,Humid regions,-0.1199665598576533,75,10
