scale,n,r,p,slope,intercept,rmse
gridded,1104085,0.9426385448372734,0.0,0.7085154330639368,-0.0164417767060132,0.087848196645454
site,240,0.7763630920240446,1.2938890827965873e-49,0.4341814394481554,-0.0121061286888214,0.1735845108664472
