region,AI_definition,n_pixels,q25,median,q75,IQR
Drylands,AI < 0.65,384461,-0.4097435541499328,-0.2798690898455535,-0.1343974117759272,0.2753461423740055
Humid regions,AI >= 0.65,722807,-0.1175148633843915,0.006823984744383,0.1306042148280502,0.2481190782124417
